FileID,Emitter,Addressee,Context,Emitter pre-vocalization action,Addressee pre-vocalization action,Emitter post-vocalization action,Addressee post-vocalization action,Start sample,End sample
7,118,0,9,2,2,3,3,1,336720
11,0,0,11,0,0,0,0,1,787280
12,118,0,12,2,2,3,3,1,566096
15,0,0,12,0,0,0,0,1,402256
20,0,0,12,0,0,0,0,1,394064
24,0,0,12,0,0,0,0,1,369488
29,0,0,1,0,0,0,0,1,377680
30,0,0,1,0,0,0,0,298537,607056
33,0,0,12,0,0,0,0,1,443216
37,-118,0,12,0,0,0,0,254691,410448
55,0,0,12,0,0,0,0,1,336720
64,-101,0,11,1,2,3,3,1,533328
74,0,0,12,0,0,0,0,1,328528
77,0,0,11,0,0,0,0,1,320336
79,0,0,12,0,0,0,0,1,566096
85,0,0,12,0,0,0,0,1,1450832
89,0,0,12,0,0,0,0,1,1114960
91,0,0,12,0,0,0,0,1,607056
93,0,0,12,0,0,0,0,113028,697168
96,0,0,12,0,0,0,0,1,631632
98,0,0,12,0,0,0,0,1,623440
120,0,0,12,0,0,0,0,1,328528
122,0,0,12,0,0,0,0,1,828240
133,0,0,12,0,0,0,0,208415,484176
137,0,0,12,0,0,0,0,93813,385872
142,0,0,12,0,0,0,0,1,361296
153,110,0,3,2,2,3,2,1,344912
155,0,0,12,0,0,0,0,1,820048
157,0,0,12,0,0,0,0,1,385872
169,0,0,12,0,0,0,0,1,344912
175,0,0,12,0,0,0,0,1,336720
182,0,0,12,0,0,0,0,1,336720
185,0,0,12,0,0,0,0,1,336720
189,0,0,4,0,0,0,0,1,475984
190,0,0,12,0,0,0,0,1,410448
193,0,0,12,0,0,0,0,192608,516944
197,0,0,12,0,0,0,0,1,549712
202,0,0,12,0,0,0,0,1,435024
204,0,0,12,0,0,0,0,76051,361296
206,0,0,12,0,0,0,0,1,705360
213,0,0,12,0,0,0,0,1,582480
221,0,0,12,0,0,0,0,1,492368
230,0,0,6,0,0,0,0,1,336720
231,0,0,12,0,0,0,0,1,320336
232,0,0,12,0,0,0,0,263215,828240
236,0,0,12,0,0,0,0,1,344912
238,0,0,12,0,0,0,0,160110,402256
240,0,0,12,0,0,0,0,1,557904
244,0,0,12,0,0,0,0,1,803664
248,0,0,12,0,0,0,0,1,377680
249,0,0,12,0,0,0,0,1,344912
254,0,0,12,0,0,0,0,1,320336
255,0,0,12,0,0,0,0,1,328528
258,0,0,12,0,0,0,0,1,787280
259,0,0,12,0,0,0,0,1,615248
261,0,0,12,0,0,0,0,1,500560
263,0,0,12,0,0,0,0,1,418640
264,0,0,12,0,0,0,0,1,680784
266,0,0,12,0,0,0,0,1,385872
268,0,0,12,0,0,0,0,1,385872
269,0,0,12,0,0,0,0,1,623440
271,0,0,12,0,0,0,0,1,336720
272,0,0,12,0,0,0,0,1,320336
283,0,0,12,0,0,0,0,1,697168
286,0,0,12,0,0,0,0,1,361296
289,0,0,12,0,0,0,0,1,426832
313,-101,0,0,3,2,4,3,1,451408
314,-107,0,11,2,2,3,3,1,344912
341,-110,0,11,2,2,3,3,1,410448
342,0,0,11,0,0,0,0,1,541520
364,0,0,11,0,0,0,0,523649,1065808
379,-110,0,11,2,1,3,3,1,598864
381,-110,0,11,2,3,3,3,1,525136
395,0,0,11,2,2,3,3,1,475984
425,0,0,11,2,2,3,3,1,402256
429,0,0,11,2,2,3,3,1,1213264
433,0,0,11,2,2,3,3,1,1352528
435,0,0,11,2,2,3,3,1,426832
465,0,0,11,0,0,0,0,1,803664
467,0,0,11,0,0,0,0,1,648016
469,0,0,11,0,0,0,0,1,353104
471,0,0,11,0,0,0,0,1,443216
487,0,0,11,0,0,0,0,1,508752
489,0,0,11,0,0,0,0,1,369488
491,0,0,11,0,0,0,0,1,377680
493,0,0,11,0,0,0,0,1,467792
495,0,0,11,0,0,0,0,1,336720
497,0,0,11,0,0,0,0,1,328528
624,107,0,12,2,2,3,3,1,328528
703,0,0,12,2,2,3,3,1,377680
755,0,0,12,0,0,0,0,1,975696
786,0,0,12,0,0,0,0,1,598864
809,-119,0,3,2,2,3,3,1,508752
816,-110,0,3,2,2,3,3,1,426832
829,0,0,11,2,2,3,3,1,582480
872,0,0,11,2,2,3,3,1,779088
891,-110,0,3,2,2,3,3,1,729936
1249,0,0,6,0,0,0,0,1,336720
1250,0,0,6,0,0,0,0,1,336720
1259,0,0,6,0,0,0,0,1,353104
1260,0,0,6,0,0,0,0,242046,557904
1273,0,0,11,0,0,0,0,1,369488
1275,0,0,11,0,0,0,0,161111,1024848
1281,0,0,12,0,0,0,0,125206,590672
1284,0,0,11,0,0,0,0,87697,418640
1286,0,0,12,0,0,0,0,1,836432
1287,0,0,12,0,0,0,0,1,361296
1292,0,0,12,0,0,0,0,157945,967504
1294,0,0,12,0,0,0,0,1,402256
1297,0,0,12,0,0,0,0,1,336720
1298,0,0,12,0,0,0,0,1,328528
1315,0,0,12,0,0,0,0,343153,656208
