,File name,Addressee,Start sample,End sample,features
88523,130604012818003031.WAV,215,1,336720,"[-511.3148, -21.66558, -7.43399, 4.2268605, 5.4944205, -10.2351055, 6.699958, 7.6586156, -5.6839676, -0.18688565, 10.510623, 4.401106, -2.227981, -4.04662, -2.0999713, 1.4676852, 0.2740134, -3.4308867, -2.610678, 1.454052, 3.8231473, 5.0797114, 1.3414019, -3.8184307, -2.252038, 2.7215257, 0.6283609, -2.3793247, -2.3585317, -1.0301533, 1.6178612, 3.3954957, -0.053792473, -1.6912645, -0.70218444, 0.3888992, 0.56382823, -0.52627593, -1.884474, -0.37018692, 1.8700304, 1.4911859, -0.18618907, 0.67851037, -0.42661572, -1.2676746, 0.53166986, 0.6262017, -0.78496784, -0.9448704, -0.92231137, -0.68314576, -0.38724774, 0.059966154, -0.7924066, -0.49626583, 0.7744658, 1.2972806, 1.360363, 0.01105621, -1.3011239, -0.84380025, 0.8778488, 0.533414]"
88524,130604012821040033.WAV,-215,1,320336,"[-509.16, -20.197432, -11.178559, 4.370798, 8.250847, -11.741928, 6.2781615, 8.301768, -4.4597287, 0.6147269, 9.486194, 3.2874408, -1.9560657, -2.5931022, -1.6634792, 1.5325354, 0.28113472, -3.6522481, -2.9307654, 1.4907243, 3.7454815, 4.7555003, 1.6779779, -3.49887, -2.689563, 2.20064, 1.0560107, -1.6763582, -2.3598852, -1.4776566, 1.6557329, 3.6376903, -0.064313844, -1.7939215, -0.5329262, 0.40892076, 0.4065346, -0.58780426, -1.9514068, -0.21943419, 1.9488233, 1.28863, -0.31754768, 0.65448624, -0.3361781, -1.1955993, 0.44853103, 0.54267234, -0.81551653, -0.9522396, -0.924878, -0.8760172, -0.33995408, 0.17305619, -0.9106022, -0.5757344, 0.77883214, 1.2746465, 1.1656195, 0.010611568, -1.0708723, -0.9016671, 0.7480348, 0.57855487]"
88525,130604015135196062.WAV,-208,1,418640,"[-494.7407, -25.728128, -16.932241, 15.421019, 9.269982, -9.38289, 8.362631, 8.4722, -2.6381898, 2.528964, 10.565074, 5.0641546, -0.55261004, -2.3600698, 0.25927123, 3.1476634, 2.284179, -0.61911047, -1.2826277, 2.1660273, 4.2606277, 4.8284383, 1.9381721, -2.736793, -2.033018, 2.9679937, 1.9517883, -1.0043391, -2.018326, -0.9833839, 1.9046034, 3.7825835, -0.007526183, -1.6297491, -0.7250724, 0.6552729, 0.79485154, -0.39825523, -2.0028932, -0.6188962, 1.5600601, 0.7697408, -0.50647175, 0.16572772, -0.8202192, -1.5129021, -0.030568093, 0.23010758, -1.2789444, -1.4386508, -1.1806121, -0.78309935, -0.5271037, -0.2880166, -1.2327352, -0.8583533, 0.30198294, 0.8203498, 0.6596191, -0.35971838, -1.1774006, -0.84463465, 0.54936427, 0.44973493]"
88526,130604015938807103.WAV,-208,1,806244,"[-491.9231, -26.284819, -16.550081, 12.734876, 4.6179695, -7.928946, 9.345862, 8.265292, -2.3930283, 1.3136648, 8.310051, 4.6327624, -0.4707626, -2.0794904, -0.18862614, 3.690023, 1.750575, -2.6801074, -1.3183718, 1.6367902, 3.6020489, 4.7088466, 2.2222733, -2.100933, -1.6145308, 2.7516134, 1.0625451, -1.0128981, -1.780564, -0.5774178, 1.8754551, 3.7929974, 0.5143313, -1.8217366, -1.2229593, 0.28410125, 0.7724385, -0.36108568, -1.9264145, -0.6748681, 1.3006402, 1.2182876, -0.64119744, -0.09406083, -0.52127486, -1.3039085, 0.3735883, 0.26565415, -1.3286905, -1.2592787, -1.2164185, -0.74569243, -0.36692825, -0.23067631, -1.145877, -0.913352, 0.41135117, 0.8095173, 0.641002, -0.037247226, -1.1628803, -0.95192254, 0.57771075, 0.32693794]"
88527,130604015938807103.WAV,-208,806245,828240,"[-448.0293, -37.167366, -50.52695, 26.301056, 5.0790033, -6.796262, 4.6904845, 5.26734, 12.035718, 6.427252, -1.1231189, 0.7634655, 1.4248549, -0.8722171, 2.021972, 1.952774, -0.06510889, -2.6666324, 0.4484747, -0.6380421, 4.568575, 9.010242, 2.685698, 0.16059811, -4.8357854, -0.3618323, 3.4488518, 1.6661584, -0.45583764, -1.0255419, 2.0311422, 2.5044794, -0.22183545, -2.0610614, -1.1964349, 1.0738285, 0.32673302, 0.35391754, -1.0257918, -1.0174125, -0.29760036, 0.7983731, -0.36879492, 0.4821769, 0.30309334, -1.3680025, 0.070097774, -0.7062355, -2.5636234, -0.44142148, -1.0540061, -1.597664, -1.2072477, -0.5681564, -0.40016976, -0.8236609, 0.42961457, 0.05528674, 0.06117934, 0.4484905, -0.090005785, -0.33955184, -0.44261009, 0.8182317]"
88528,130604015940369104.WAV,-208,1,328528,"[-502.5482, -20.777824, -13.201474, 7.1797194, 7.1267447, -8.129411, 9.826689, 7.609812, -2.43376, 2.4273715, 8.710156, 3.964271, -0.74302554, -2.7574718, -0.89481467, 3.1232522, 2.071921, -1.7523417, -1.5005802, 1.5312947, 3.607409, 5.365127, 2.2446039, -3.10733, -2.0362203, 2.90844, 1.7098781, -0.8878904, -2.0395844, -1.1635858, 2.1024597, 3.7374415, 0.46067908, -1.4651904, -1.1404365, 0.18860586, 0.91523355, -0.46456388, -2.1635828, -0.9349523, 0.9404683, 1.0889308, -0.0817489, 0.36405435, -0.70221156, -1.3600725, 0.3503898, 0.35541123, -1.2500795, -1.2033376, -1.1414405, -0.79401916, -0.2874315, -0.067304686, -1.0850227, -0.8350651, 0.45315513, 0.8727473, 0.77890235, -0.2770107, -1.3611784, -0.84080225, 0.7651335, 0.24742901]"
88529,130604020447752118.WAV,-215,1,418640,"[-506.26697, -20.303907, -6.453592, 6.882815, 7.495541, -5.7158694, 10.380723, 9.2232, -3.323185, 2.248321, 10.916937, 6.057259, 0.5817496, -1.7182897, -0.5001707, 3.9436798, 1.6860483, -1.9864615, -0.54711616, 2.5907564, 4.728595, 5.435914, 2.1636539, -2.3815176, -1.3734226, 3.619502, 1.923348, -1.5007944, -2.197938, -0.46948475, 2.3011994, 3.601932, -0.05174559, -1.7362611, -1.062907, 0.40534306, 0.8939606, -0.6602733, -2.3175461, -0.767722, 1.3466233, 1.2204745, -0.55691624, -0.23512414, -0.9316009, -1.4360406, 0.330618, 0.13194588, -1.3530083, -1.4886526, -1.3502054, -1.1006804, -0.5687114, -0.38056856, -1.5517796, -0.98250574, 0.40618673, 0.9244738, 0.9638835, -0.23223796, -1.4157939, -0.7247232, 0.90905166, 0.42427507]"
88530,130604020526258371.WAV,-207,1,320336,"[-534.4424, -26.551249, -8.9731455, 6.6023517, 6.6982617, -1.9045644, 12.994553, 8.834358, -0.8844071, -0.27108926, 2.8116646, 1.5029254, 2.942854, 1.8485862, 0.92462957, 2.9901876, 1.2492689, -0.22957696, 2.379572, 1.6032382, 0.047727477, 2.2315135, 0.47060952, -1.4348656, 0.696235, 1.7566, -0.32056707, 1.0480886, 1.8546462, -0.35586846, -1.6788443, -0.08430843, -0.033837046, 0.19169922, 0.27677846, 0.11126792, -0.65276945, -0.78227174, -0.66167647, 0.8354943, 1.1940142, -0.24723019, -0.76914483, -0.31948155, -0.3795537, -0.100441396, -0.39444306, -1.127814, -0.8557517, -0.3787403, -1.0692917, -0.89804614, -0.005343818, -0.23539461, -0.9277669, -0.46706986, 0.033614386, -0.022884997, 0.12218981, 0.4416777, 0.20206064, 0.01554831, 0.1399226, 0.060474627]"
88531,130604020527520372.WAV,-207,1,320336,"[-531.5068, -25.871279, -11.952579, 7.210416, 8.272826, -3.126957, 13.330338, 9.751554, -0.92878044, 0.21464819, 2.7173843, 1.551572, 3.0957508, 0.9354708, 0.5908353, 3.0469172, 0.7519689, -0.8319938, 1.6963037, 1.7192991, 0.7478364, 1.8215436, -0.000104602535, -1.125628, 0.67813283, 1.7303541, 0.28310224, 0.79262054, 1.2735126, -0.5212796, -1.5367154, 0.25426728, 0.199379, 0.059059326, 0.4077153, 0.5399099, -0.5007156, -0.7591088, -0.66373575, 0.65047944, 1.138217, -0.3062399, -0.7879857, -0.13937888, -0.5565911, -0.20624182, -0.17427175, -0.9157044, -0.8596665, -0.17522909, -0.9356752, -1.0464791, -0.2183552, -0.112383954, -1.0116448, -0.72128814, -0.15040325, -0.0590574, 0.038431235, 0.31324485, 0.22676416, 0.05393742, 0.26203495, 0.08344144]"
88532,130604020631734537.WAV,207,1,192858,"[-514.45087, -9.744773, -17.685776, -4.559342, 12.630882, 1.5346133, 11.894816, 11.079544, 0.20119934, -3.8819082, -1.5361758, 2.2471519, 6.2962055, 2.4235036, 0.07157505, 2.5254087, 0.6439763, -1.8758117, 0.5908143, 3.4966455, 3.234716, 1.5993242, -3.032421, -4.092228, 0.3131236, 3.8735056, 2.9693177, 2.0487342, -0.6777218, -1.7520224, -0.09136548, 0.8920989, 1.2017559, 2.6948724, 0.6551865, -1.141379, -0.4005543, 0.35547036, -0.51223695, 0.30672798, 0.7246283, -0.42712513, -0.16280086, 0.3833131, -0.6440487, -0.77440846, -0.74853116, -1.043036, -0.8994875, -0.9995802, -1.5089604, -0.8571766, 0.120246544, -0.46358335, -1.1556653, -0.60746235, -0.7678116, -0.9319331, -0.12211367, 0.37251082, -0.5411444, -0.6131639, -0.11431319, -0.4998584]"
